Width,Height,Elongation,Roundness,Label
0.486,0.19854721549636803,0.11983400920770235,0.6500258814693913,car
0.452,0.1162227602905569,0.19177972362857756,0.5090477388252478,fish
0.318,0.3486682808716707,0.0038145072318882204,0.8680547451438534,house
0.296,0.6053268765133172,0.06280754547964038,0.7935866507746455,tree
0.394,0.2857142857142857,0.03588463049407669,0.7973030140684445,bicycle
0.426,0.4745762711864407,0.13627753151133715,0.5703096975301845,guitar
0.162,0.5956416464891041,0.7944669125620316,0.07119655548242695,pencil
0.444,0.4794188861985472,0.0071543381406403836,0.970546248294593,clock
0.49,0.22276029055690072,0.10109273405206384,0.7039463304236333,car
0.382,0.13075060532687652,0.13443661039658014,0.60666630765829,fish
0.36,0.37530266343825663,0.0044008399895971145,0.8225210342582443,house
0.438,0.6513317191283293,0.019566301428200525,0.8770313251326236,tree
0.462,0.29782082324455206,0.05689637317238855,0.7934409594403907,bicycle
0.452,0.5108958837772397,0.14558372730798308,0.5527134824870596,guitar
0.324,0.48426150121065376,0.4399552655761685,0.20154228938194826,pencil
0.378,0.43825665859564167,0.00039033254149836483,0.9770375380422296,clock
0.478,0.2711864406779661,0.07183987215913225,0.7888299796924597,car
0.288,0.13559322033898305,0.08146331001098195,0.7029523706637737,fish
0.426,0.39709443099273606,0.016966177623965354,0.8048758654901288,house
0.61,0.7094430992736077,0.0028297299390770275,0.8178074301311868,tree
0.288,0.28329297820823246,0.013351801913929219,0.817670973515388,bicycle
0.154,0.45278450363196127,0.12198530622773075,0.6597783535418869,guitar
0.036,0.5254237288135594,0.48245102129198064,0.1773455017134434,pencil
0.222,0.25907990314769974,0.00459049070168004,0.9568721640881377,clock
0.466,0.29782082324455206,0.058085046364040556,0.7882950027972557,car
0.444,0.17675544794188863,0.117782844397132,0.5404288882086894,fish
0.484,0.5738498789346247,0.0024226101606459483,0.867020416544043,house
0.47,0.5472154963680388,0.0005807299104737652,0.9189210283867916,tree
0.438,0.3704600484261501,0.030745091933024667,0.7525782556480232,bicycle
0.58,0.24939467312348668,0.11177731743999283,0.5407841097237911,guitar
